year,gender,metric,value
2018,male,signups_per_year,2
2018,male,cumulative_accounts_eoy,2
2018,female,signups_per_year,0
2018,female,cumulative_accounts_eoy,0
2019,male,signups_per_year,2
2019,male,cumulative_accounts_eoy,4
2019,female,signups_per_year,1
2019,female,cumulative_accounts_eoy,1
2020,male,signups_per_year,1
2020,male,cumulative_accounts_eoy,5
2020,female,signups_per_year,0
2020,female,cumulative_accounts_eoy,1
2021,male,signups_per_year,2
2021,male,cumulative_accounts_eoy,7
2021,female,signups_per_year,1
2021,female,cumulative_accounts_eoy,2
2022,male,signups_per_year,18
2022,male,cumulative_accounts_eoy,25
2022,female,signups_per_year,4
2022,female,cumulative_accounts_eoy,6
2023,male,signups_per_year,74
2023,male,cumulative_accounts_eoy,99
2023,female,signups_per_year,12
2023,female,cumulative_accounts_eoy,18
2024,male,signups_per_year,98
2024,male,cumulative_accounts_eoy,197
2024,female,signups_per_year,12
2024,female,cumulative_accounts_eoy,30
2025,male,signups_per_year,122
2025,male,cumulative_accounts_eoy,319
2025,female,signups_per_year,17
2025,female,cumulative_accounts_eoy,47
2026,male,signups_per_year,46
2026,male,cumulative_accounts_eoy,365
2026,female,signups_per_year,0
2026,female,cumulative_accounts_eoy,47
2018,male,points_gained_per_year,60
2018,male,exercises_completed_per_year,27
2018,male,problems_solved_per_year,0
2018,female,points_gained_per_year,0
2018,female,exercises_completed_per_year,0
2018,female,problems_solved_per_year,0
2019,male,points_gained_per_year,249
2019,male,exercises_completed_per_year,50
2019,male,problems_solved_per_year,1
2019,female,points_gained_per_year,3
2019,female,exercises_completed_per_year,1
2019,female,problems_solved_per_year,0
2020,male,points_gained_per_year,186
2020,male,exercises_completed_per_year,44
2020,male,problems_solved_per_year,0
2020,female,points_gained_per_year,63
2020,female,exercises_completed_per_year,16
2020,female,problems_solved_per_year,0
2021,male,points_gained_per_year,828
2021,male,exercises_completed_per_year,167
2021,male,problems_solved_per_year,6
2021,female,points_gained_per_year,18
2021,female,exercises_completed_per_year,4
2021,female,problems_solved_per_year,0
2022,male,points_gained_per_year,5880
2022,male,exercises_completed_per_year,627
2022,male,problems_solved_per_year,78
2022,female,points_gained_per_year,792
2022,female,exercises_completed_per_year,171
2022,female,problems_solved_per_year,0
2023,male,points_gained_per_year,20484
2023,male,exercises_completed_per_year,3312
2023,male,problems_solved_per_year,224
2023,female,points_gained_per_year,1089
2023,female,exercises_completed_per_year,234
2023,female,problems_solved_per_year,0
2024,male,points_gained_per_year,39663
2024,male,exercises_completed_per_year,5547
2024,male,problems_solved_per_year,444
2024,female,points_gained_per_year,3195
2024,female,exercises_completed_per_year,656
2024,female,problems_solved_per_year,13
2025,male,points_gained_per_year,35526
2025,male,exercises_completed_per_year,4968
2025,male,problems_solved_per_year,465
2025,female,points_gained_per_year,2784
2025,female,exercises_completed_per_year,583
2025,female,problems_solved_per_year,12
2026,male,points_gained_per_year,16575
2026,male,exercises_completed_per_year,2663
2026,male,problems_solved_per_year,166
2026,female,points_gained_per_year,1521
2026,female,exercises_completed_per_year,300
2026,female,problems_solved_per_year,13
2018,male,cumulative_points_eoy,60
2019,male,cumulative_points_eoy,309
2020,male,cumulative_points_eoy,495
2021,male,cumulative_points_eoy,1323
2022,male,cumulative_points_eoy,7203
2023,male,cumulative_points_eoy,27687
2024,male,cumulative_points_eoy,67350
2025,male,cumulative_points_eoy,102876
2026,male,cumulative_points_eoy,119451
2018,male,cumulative_exercises_eoy,27
2019,male,cumulative_exercises_eoy,77
2020,male,cumulative_exercises_eoy,121
2021,male,cumulative_exercises_eoy,288
2022,male,cumulative_exercises_eoy,915
2023,male,cumulative_exercises_eoy,4227
2024,male,cumulative_exercises_eoy,9774
2025,male,cumulative_exercises_eoy,14742
2026,male,cumulative_exercises_eoy,17405
2018,male,cumulative_problems_eoy,0
2019,male,cumulative_problems_eoy,1
2020,male,cumulative_problems_eoy,1
2021,male,cumulative_problems_eoy,7
2022,male,cumulative_problems_eoy,85
2023,male,cumulative_problems_eoy,309
2024,male,cumulative_problems_eoy,753
2025,male,cumulative_problems_eoy,1218
2026,male,cumulative_problems_eoy,1384
2018,female,cumulative_points_eoy,0
2019,female,cumulative_points_eoy,3
2020,female,cumulative_points_eoy,66
2021,female,cumulative_points_eoy,84
2022,female,cumulative_points_eoy,876
2023,female,cumulative_points_eoy,1965
2024,female,cumulative_points_eoy,5160
2025,female,cumulative_points_eoy,7944
2026,female,cumulative_points_eoy,9465
2018,female,cumulative_exercises_eoy,0
2019,female,cumulative_exercises_eoy,1
2020,female,cumulative_exercises_eoy,17
2021,female,cumulative_exercises_eoy,21
2022,female,cumulative_exercises_eoy,192
2023,female,cumulative_exercises_eoy,426
2024,female,cumulative_exercises_eoy,1082
2025,female,cumulative_exercises_eoy,1665
2026,female,cumulative_exercises_eoy,1965
2018,female,cumulative_problems_eoy,0
2019,female,cumulative_problems_eoy,0
2020,female,cumulative_problems_eoy,0
2021,female,cumulative_problems_eoy,0
2022,female,cumulative_problems_eoy,0
2023,female,cumulative_problems_eoy,0
2024,female,cumulative_problems_eoy,13
2025,female,cumulative_problems_eoy,25
2026,female,cumulative_problems_eoy,38
